ID,"Zeměpisná délka A","Zeměpisná délka B","Zeměpisná šířka A","Zeměpisná šířka B","Výška A","Výška B","Zisk antény A - DBI","Zisk antény B - DBI","Kmitočet A - MHz","Kmitočet B - MHz","Šířka zabraného pásma A","Šířka zabraného pásma B","Střední výkon A","Střední výkon B",Polarizace,Vzdálenost
12998,14.1169,14.1278,50.2519,50.2661,12,14,52,52,82500,72500,1250,1250,0,0,Horizontální,1.75
12999,14.7186,14.7203,49.0817,49.0792,21,13,43,43,74375,84375,500,500,1,1,Vertikální,0.3
13000,14.4572,14.455,50.0828,50.0858,36,25,46.2,46.2,75625,85625,56,56,0,0,Vertikální,0.37
13001,14.4486,14.4514,50.1275,50.1275,38,12,46.2,46.2,75625,85625,56,56,-5,-5,Vertikální,0.2
13002,14.9869,15.0069,50.1361,50.1556,22,12,50.3,50.3,75625,85625,56,56,8,8,Vertikální,2.59
13003,18.1908,18.1889,49.7878,49.7856,41,4,46.2,46.2,75625,85625,56,56,0,0,Vertikální,0.28
13004,18.1908,18.2472,49.7878,49.7956,41,58,50.3,50.3,85812,75812,56,56,10,10,Vertikální,4.14
13005,13.4633,13.4161,49.67,49.6836,27,34,50.9,50.9,73875,83875,500,500,10,10,Vertikální,3.72
13006,13.3967,13.3392,50.4464,50.4447,19,34,50.9,50.9,73875,83875,500,500,14,14,Vertikální,4.08
13007,17.8258,17.8358,49.6575,49.6586,8,12,43,43,74875,74875,500,500,0,0,Vertikální,0.73
13008,17.5386,17.5131,49.0561,49.0714,30,30,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,2.52
13009,17.5431,17.5131,49.0925,49.0714,30,30,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,3.21
13010,18.005,18.0128,49.1406,49.1425,23,10,43.5,43.5,81625,71625,1000,1000,13,13,Vertikální,0.61
13011,17.8653,17.8639,49.7581,49.7911,35,14,50.5,50.5,84625,74625,1000,1000,20,20,Vertikální,3.68
13012,17.8033,17.8358,49.5861,49.5522,29,51,50.5,50.5,71625,81625,1000,1000,13,13,Vertikální,4.44
13013,15.5369,15.5428,49.5439,49.5544,20,13,50.5,46,81625,71625,1000,1000,14,14,Vertikální,1.25
13014,16.1647,16.1558,50.4158,50.4078,27,46,43.5,43.5,71750,81750,250,250,18,18,Vertikální,1.09
13015,15.8894,15.8983,49.2103,49.2178,25,22,50.5,43.5,85750,75750,250,250,15,15,Horizontální,1.05
13016,18.3617,18.3558,49.5808,49.5897,42,30,50.5,43.8,84625,74625,1000,1000,13,13,Vertikální,1.07
13017,12.9158,12.9294,49.4617,49.4442,22,25,50.5,50.5,81500,71500,750,750,14,14,Vertikální,2.18
13018,14.2167,14.2292,50.7747,50.7572,15,31,46,46,71250,81250,250,250,13,13,Vertikální,2.13
13019,16.7911,16.7511,49.3514,49.3397,70,20,50.5,50.5,82125,72125,2000,2000,14,14,Vertikální,3.17
13020,16.7964,16.7542,49.3028,49.2872,43,50,50.5,50.5,82125,72125,2000,2000,16,16,Vertikální,3.52
13021,16.6756,16.6186,49.3772,49.3586,16,37,50.5,50.5,74625,84625,1000,1000,13,13,Vertikální,4.61
13022,16.7281,16.7542,49.3092,49.2872,35,35,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,3.09
13023,15.6033,15.5844,49.5831,49.5944,15,55,46,46,81375,71375,500,500,15,15,Vertikální,1.86
13024,17.0089,16.9622,49.5694,49.5561,30,30,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,3.68
13025,16.6983,16.6825,48.7867,48.7878,20,20,46,46,74625,84625,1000,1000,13,13,Vertikální,1.17
13026,16.8792,16.8886,48.7519,48.7553,25,35,46,46,84625,74625,1000,1000,13,13,Vertikální,0.79
13027,16.9922,17.0106,48.7608,48.7836,25,35,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,2.87
13028,16.6864,16.6711,48.9872,48.9914,13,25,46,46,84625,74625,1000,1000,13,13,Vertikální,1.21
